,name,ratings,service_type,reviews,salaries,interviews,jobs,benefits,photos
0,TCS,3.3,IT Services & Consulting | Bangalore / Bengaluru +439 other locations,1.1L Reviews,9.8L Salaries,11.8k Interviews,2.1k Jobs,10.6k Benefits,93 Photos
1,Accenture,3.7,IT Services & Consulting | Bangalore / Bengaluru +255 other locations,71.4k Reviews,6.5L Salaries,9.2k Interviews,39.5k Jobs,6.7k Benefits,49 Photos
2,Wipro,3.6,IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,63.6k Reviews,4.8L Salaries,6.7k Interviews,6.9k Jobs,4.6k Benefits,107 Photos
3,Cognizant,3.6,IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,59.9k Reviews,6L Salaries,6.3k Interviews,718 Jobs,5.5k Benefits,86 Photos
4,Capgemini,3.7,IT Services & Consulting | Bangalore / Bengaluru +183 other locations,51.5k Reviews,4.8L Salaries,5.4k Interviews,1.9k Jobs,3.7k Benefits,42 Photos
5,HDFC Bank,3.8,Banking | Mumbai +1822 other locations,50.6k Reviews,1.5L Salaries,2.9k Interviews,266 Jobs,3.2k Benefits,86 Photos
6,Infosys,3.5,IT Services & Consulting | Bangalore / Bengaluru +246 other locations,47.3k Reviews,5.2L Salaries,8.3k Interviews,2.7k Jobs,4.8k Benefits,118 Photos
7,ICICI Bank,4.0,Banking | Mumbai +1437 other locations,45.1k Reviews,1.5L Salaries,2.9k Interviews,22 Jobs,3.7k Benefits,73 Photos
8,HCLTech,3.4,IT Services & Consulting | Chennai +228 other locations,44.5k Reviews,3.7L Salaries,4.4k Interviews,208 Jobs,3.8k Benefits,64 Photos
9,Tech Mahindra,3.4,IT Services & Consulting | Hyderabad / Secunderabad +331 other locations,42.4k Reviews,2.8L Salaries,4.5k Interviews,468 Jobs,3.4k Benefits,79 Photos
10,Genpact,3.6,IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,40.9k Reviews,2.3L Salaries,3.8k Interviews,1.4k Jobs,3.5k Benefits,66 Photos
11,Teleperformance,3.8,BPO | Mumbai +255 other locations,36.5k Reviews,96k Salaries,2.2k Interviews,1.4k Jobs,1.8k Benefits,38 Photos
12,Jio,4.4,Telecom | Mumbai +1903 other locations,32.4k Reviews,62.1k Salaries,3.9k Interviews,3 Jobs,2.5k Benefits,87 Photos
13,Axis Bank,3.6,Banking | Mumbai +1502 other locations,32.4k Reviews,1L Salaries,1.9k Interviews,184 Jobs,2.1k Benefits,120 Photos
14,Concentrix Corporation,3.6,BPO | Bangalore / Bengaluru +177 other locations,31.5k Reviews,1.3L Salaries,1.9k Interviews,74 Jobs,3.1k Benefits,66 Photos
15,Amazon,3.9,Internet | Bangalore / Bengaluru +517 other locations,30.7k Reviews,1.5L Salaries,5.8k Interviews,1.6k Jobs,4.1k Benefits,89 Photos
16,iEnergizer,4.6,BPO | Noida +51 other locations,27.1k Reviews,24k Salaries,1.1k Interviews,62 Jobs,430 Benefits,29 Photos
17,Reliance Retail,3.9,Retail | Mumbai +1155 other locations,27k Reviews,75.2k Salaries,1.9k Interviews,166 Jobs,1.8k Benefits,135 Photos
18,LTIMindtree,3.6,IT Services & Consulting | Bangalore / Bengaluru +146 other locations,25.8k Reviews,1.9L Salaries,3.4k Interviews,503 Jobs,776 Benefits,34 Photos
19,IBM,3.9,IT Services & Consulting | Bangalore / Bengaluru +160 other locations,25.3k Reviews,2.1L Salaries,2.6k Interviews,2k Jobs,2.6k Benefits,23 Photos
20,HDB Financial Services,3.9,NBFC | Mumbai +1091 other locations,25.2k Reviews,50.2k Salaries,1.1k Interviews,230 Jobs,1.5k Benefits,70 Photos
21,Larsen & Toubro Limited,3.9,Engineering & Construction | Chennai +758 other locations,23.2k Reviews,74.4k Salaries,1.8k Interviews,202 Jobs,2.5k Benefits,65 Photos
22,Deloitte,3.7,Management Consulting | Hyderabad / Secunderabad +187 other locations,22.4k Reviews,2.5L Salaries,3.3k Interviews,1.7k Jobs,2.4k Benefits,25 Photos
23,Kotak Mahindra Bank,3.6,Banking | Mumbai +683 other locations,21.9k Reviews,86.9k Salaries,1.4k Interviews,100 Jobs,1.3k Benefits,43 Photos
