name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
TCS,IT Services & Consulting,3.3,110000.00000000001,980000.0000000001,11800.0,2100.0,10600.0,93.0,Bangalore / Bengaluru,439
Accenture,IT Services & Consulting,3.7,71400.0,650000.0,9200.0,39500.0,6700.0,49.0,Bangalore / Bengaluru,255
Wipro,IT Services & Consulting,3.6,63600.0,480000.0,6700.0,6900.0,4600.0,107.0,Hyderabad / Secunderabad,370
Cognizant,IT Services & Consulting,3.6,59900.0,600000.0,6300.0,718.0,5500.0,86.0,Hyderabad / Secunderabad,229
Capgemini,IT Services & Consulting,3.7,51500.0,480000.0,5400.0,1900.0,3700.0,42.0,Bangalore / Bengaluru,183
HDFC Bank,Banking,3.8,50600.0,150000.0,2900.0,266.0,3200.0,86.0,Mumbai,1822
Infosys,IT Services & Consulting,3.5,47300.0,520000.0,8300.0,2700.0,4800.0,118.0,Bangalore / Bengaluru,246
ICICI Bank,Banking,4.0,45100.0,150000.0,2900.0,22.0,3700.0,73.0,Mumbai,1437
HCLTech,IT Services & Consulting,3.4,44500.0,370000.0,4400.0,208.0,3800.0,64.0,Chennai,228
Tech Mahindra,IT Services & Consulting,3.4,42400.0,280000.0,4500.0,468.0,3400.0,79.0,Hyderabad / Secunderabad,331
Genpact,IT Services & Consulting,3.6,40900.0,229999.99999999997,3800.0,1400.0,3500.0,66.0,Hyderabad / Secunderabad,182
Teleperformance,BPO,3.8,36500.0,9600000.0,2200.0,1400.0,1800.0,38.0,Mumbai,255
Jio,Telecom,4.4,32400.0,6210000.0,3900.0,3.0,2500.0,87.0,Mumbai,1903
Axis Bank,Banking,3.6,32400.0,100000.0,1900.0,184.0,2100.0,120.0,Mumbai,1502
Concentrix Corporation,BPO,3.6,31500.0,130000.0,1900.0,74.0,3100.0,66.0,Bangalore / Bengaluru,177
Amazon,Internet,3.9,30700.0,150000.0,5800.0,1600.0,4100.0,89.0,Bangalore / Bengaluru,517
iEnergizer,BPO,4.6,27100.0,2400000.0,1100.0,62.0,430.0,29.0,Noida,51
Reliance Retail,Retail,3.9,27000.0,7520000.0,1900.0,166.0,1800.0,135.0,Mumbai,1155
LTIMindtree,IT Services & Consulting,3.6,25800.0,190000.0,3400.0,503.0,776.0,34.0,Bangalore / Bengaluru,146
IBM,IT Services & Consulting,3.9,25300.0,210000.0,2600.0,2000.0,2600.0,23.0,Bangalore / Bengaluru,160
HDB Financial Services,NBFC,3.9,25200.0,5020000.0,1100.0,230.0,1500.0,70.0,Mumbai,1091
